"FIPS","Geographic Identifier","Name of Area","Qualifying Name","State/U.S.-Abbreviation (USPS)","Summary Level","Geographic Component","File Identification","Logical Record Number","US","Region","Division","State (Census Code)","State (FIPS)","County","County Subdivision (FIPS)","Place (FIPS Code)","Place (State FIPS + Place FIPS)","Census Tract","Block Group","Consolidated City","American Indian Area/Alaska Native Area/Hawaiian Home Land (Census)","American Indian Area/Alaska Native Area/Hawaiian Home Land (FIPS)","American Indian Trust Land/Hawaiian Home Land Indicator","American Indian Tribal Subdivision (Census)","American Indian Tribal Subdivision (FIPS)","Alaska Native Regional Corporation (FIPS)","Metropolitan and Micropolitan Statistical Area","Combined Statistical Area","Metropolitan Division","Metropolitan Area Central City","Metropolitan/Micropolitan Indicator Flag","New England City and Town Combined Statistical Area","New England City and Town Area","New England City and Town Area Division","Urban Area","Urban Area Central Place","Current Congressional District 110","State Legislative District Upper","State Legislative District Lower","Voting District","ZIP Code Tabulation Area (3-digit)","ZIP Code Tabulation Area (5-digit)","Subbarrio (FIPS)","School District (Elementary)","School District (Secondary)","School District (Unified)","Urban/Rural","Principal City Indicator","Traffic Analysis Zone","Urban Growth Area","Public Use Microdata Area - 5% File","Public Use Microdata Area - 1% File","Total Population:","Total Population: White Alone","Total Population: Black or African American Alone","Total Population: American Indian and Alaska Native Alone","Total Population: Asian Alone","Total Population: Native Hawaiian and Other Pacific Islander Alone","Total Population: Some Other Race Alone","Total Population: Two or More Races","Population 25 Years and Over:","Population 25 Years and Over: Less than High School","Population 25 Years and Over: High School Graduate or More (Includes Equivalency)","Population 25 Years and Over: Some College or More","Population 25 Years and Over: Bachelor's Degree or More","Population 25 Years and Over: Master's Degree or More","Population 25 Years and Over: Professional School Degree or More","Population 25 Years and Over: Doctorate Degree","Median Household Income (In 2016 Inflation Adjusted Dollars)"
Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,SE_A03001_001,SE_A03001_002,SE_A03001_003,SE_A03001_004,SE_A03001_005,SE_A03001_006,SE_A03001_007,SE_A03001_008,SE_A12002_001,SE_A12002_002,SE_A12002_003,SE_A12002_004,SE_A12002_005,SE_A12002_006,SE_A12002_007,SE_A12002_008,SE_A14006_001
"01","04000US01","Alabama","Alabama","al","040","00 ","ACSSF","0000001",,,,,"01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4863300,3316384,1301102,24509,65611,1503,70333,83858,3300713,491694,2809019,1797783,815522,308842,82678,33747,46257
"02","04000US02","Alaska","Alaska","ak","040","00 ","ACSSF","0000001",,,,,"02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,741894,477895,23753,108056,45580,9937,12712,63961,478951,32977,445974,312046,141577,50716,14534,5804,76440
"04","04000US04","Arizona","Arizona","az","040","00 ","ACSSF","0000001",,,,,"04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6931071,5254944,299674,306247,220438,14140,585948,249680,4626409,614439,4011970,2906473,1335894,500115,141040,56517,53558
"05","04000US05","Arkansas","Arkansas","ar","040","00 ","ACSSF","0000001",,,,,"05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2988248,2290066,464516,18859,41781,8808,86797,77421,1990448,279622,1710826,1028857,445833,163225,45091,18888,44334
"06","04000US06","California","California","ca","040","00 ","ACSSF","0000001",,,,,"06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39250017,23420234,2265280,290133,5602074,150521,5642125,1879650,26304241,4618663,21685578,16294643,8660470,3234306,1030930,408628,67739
"08","04000US08","Colorado","Colorado","co","040","00 ","ACSSF","0000001",,,,,"08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5540545,4654921,234142,54743,175951,8325,228102,184361,3745506,320586,3424920,2602776,1492881,558608,148896,61117,65685
"09","04000US09","Connecticut","Connecticut","ct","040","00 ","ACSSF","0000001",,,,,"09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3576452,2741892,378932,9887,161950,1259,171008,111524,2467737,233935,2233802,1555026,953588,412219,114731,39866,73433
"10","04000US10","Delaware","Delaware","de","040","00 ","ACSSF","0000001",,,,,"10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,952065,659091,209911,4055,35646,2053,15595,25714,662547,70594,591953,379479,205069,83352,24680,11799,61757
"11","04000US11","District of Columbia","District of Columbia","dc","040","00 ","ACSSF","0000001",,,,,"11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,681170,277268,320554,2004,26436,41,37132,17735,480158,45743,434415,349167,272875,157778,58790,20554,75506
"12","04000US12","Florida","Florida","fl","040","00 ","ACSSF","0000001",,,,,"12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20612439,15574165,3310428,52738,559393,12540,570424,532751,14703671,1855213,12848458,8598725,4208456,1532549,471285,163962,50860
"13","04000US13","Georgia","Georgia","ga","040","00 ","ACSSF","0000001",,,,,"13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10310371,6054861,3254495,37939,398897,6503,299220,258456,6785395,922626,5862769,3978689,2066276,796001,235408,90323,53559
"15","04000US15","Hawaii","Hawaii","hi","040","00 ","ACSSF","0000001",,,,,"15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1428557,357994,25898,2649,543448,144568,12321,341679,990937,79663,911274,633531,316593,104743,36940,14951,74511
"16","04000US16","Idaho","Idaho","id","040","00 ","ACSSF","0000001",,,,,"16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1683140,1510119,11437,26596,24406,2375,66137,42070,1087265,104129,983136,680270,300410,97047,31374,13732,51807
"17","04000US17","Illinois","Illinois","il","040","00 ","ACSSF","0000001",,,,,"17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12801539,9123763,1813477,30470,684783,4851,822784,321411,8665219,966427,7698792,5448400,2942285,1128445,298316,109736,60960
"18","04000US18","Indiana","Indiana","in","040","00 ","ACSSF","0000001",,,,,"18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6633053,5536418,617745,17515,141451,3526,157755,158643,4392576,511499,3881077,2399195,1124846,408553,106706,42518,52314
"19","04000US19","Iowa","Iowa","ia","040","00 ","ACSSF","0000001",,,,,"19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3134693,2834162,111867,10488,74805,3949,42129,57293,2087020,172098,1914922,1265390,593162,194920,59837,24567,56247
"20","04000US20","Kansas","Kansas","ks","040","00 ","ACSSF","0000001",,,,,"20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2907289,2458966,166551,21620,79741,2922,74123,103366,1891936,178843,1713093,1216799,621426,230565,59583,21956,54935
"21","04000US21","Kentucky","Kentucky","ky","040","00 ","ACSSF","0000001",,,,,"21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4436974,3866333,366157,11140,61311,2307,37591,92135,2995509,428460,2567049,1598750,702341,283260,80263,29035,46659
"22","04000US22","Louisiana","Louisiana","la","040","00 ","ACSSF","0000001",,,,,"22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4681666,2901495,1514755,25508,77921,1030,68208,92749,3115020,486438,2628582,1569309,727906,254607,85053,28970,45146
"23","04000US23","Maine","Maine","me","040","00 ","ACSSF","0000001",,,,,"23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1331479,1257120,19963,7893,17499,214,2450,26340,966569,74138,892431,574062,291138,109704,30166,12004,53079
"24","04000US24","Maryland","Maryland","md","040","00 ","ACSSF","0000001",,,,,"24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6016447,3397255,1793593,15234,376518,2480,230326,201041,4122508,407229,3715279,2668809,1621129,760638,232136,103160,78945
"25","04000US25","Massachusetts","Massachusetts","ma","040","00 ","ACSSF","0000001",,,,,"25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6811779,5350175,506677,12547,440845,3758,285412,212365,4727515,452685,4274830,3118334,2020346,896051,266700,126142,75297
"26","04000US26","Michigan","Michigan","mi","040","00 ","ACSSF","0000001",,,,,"26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9928300,7793481,1363336,51161,292514,2967,118621,306220,6760402,647909,6112493,4134150,1909830,747093,199852,80623,52492
"27","04000US27","Minnesota","Minnesota","mn","040","00 ","ACSSF","0000001",,,,,"27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5519952,4596566,331308,63229,258899,1452,111852,156646,3725283,263888,3461395,2523458,1296984,436859,131922,53170,65599
"28","04000US28","Mississippi","Mississippi","ms","040","00 ","ACSSF","0000001",,,,,"28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2988726,1748734,1134958,13260,26708,631,30583,33852,1957022,310734,1646288,1042953,426263,161398,48285,20735,41754
"29","04000US29","Missouri","Missouri","mo","040","00 ","ACSSF","0000001",,,,,"29",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6093000,5011507,702946,30888,117335,9193,71031,150100,4121014,429939,3691075,2425689,1172650,443139,118948,48791,51746
"30","04000US30","Montana","Montana","mt","040","00 ","ACSSF","0000001",,,,,"30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1042520,927374,3949,66231,8432,578,3738,32218,712616,51238,661378,454963,220606,71662,22944,8035,50027
"31","04000US31","Nebraska","Nebraska","ne","040","00 ","ACSSF","0000001",,,,,"31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1907116,1674863,89879,15865,41548,1227,38348,45386,1243820,113345,1130475,802127,390972,129041,38971,16033,56927
"32","04000US32","Nevada","Nevada","nv","040","00 ","ACSSF","0000001",,,,,"32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2940058,1966690,260993,34267,244373,20240,274293,139202,2010610,280533,1730077,1145020,471775,163228,48883,16278,55180
"33","04000US33","New Hampshire","New Hampshire","nh","040","00 ","ACSSF","0000001",,,,,"33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1334795,1247155,16671,1450,32679,66,8057,28717,947586,67898,879688,623443,346678,133217,32214,12822,70936
"34","04000US34","New Jersey","New Jersey","nj","040","00 ","ACSSF","0000001",,,,,"34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8944469,6090908,1194585,20185,854181,3754,543530,237326,6171172,660676,5510496,3804423,2379802,919284,248498,95327,76126
"35","04000US35","New Mexico","New Mexico","nm","040","00 ","ACSSF","0000001",,,,,"35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2081015,1539634,41043,194133,32346,1428,206526,65905,1391381,202941,1188440,817932,378233,162542,46536,24408,46748
"36","04000US36","New York","New York","ny","040","00 ","ACSSF","0000001",,,,,"36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19745289,12530463,3080534,73052,1668036,9236,1767107,616861,13653592,1868292,11785300,8210486,4867812,2118193,596253,204577,62909
"37","04000US37","North Carolina","North Carolina","nc","040","00 ","ACSSF","0000001",,,,,"37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10146788,6989065,2182212,120843,275428,6081,304293,268866,6877185,873197,6003988,4228102,2091105,745490,201614,87578,50584
"38","04000US38","North Dakota","North Dakota","nd","040","00 ","ACSSF","0000001",,,,,"38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,757953,660919,19250,41649,9200,233,5114,21588,495015,37744,457271,323093,146323,38745,10195,4477,60656
"39","04000US39","Ohio","Ohio","oh","040","00 ","ACSSF","0000001",,,,,"39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11614373,9476221,1443510,18081,239025,4031,109073,324432,7922061,790316,7131745,4492717,2179681,817476,219155,88699,52334
"40","04000US40","Oklahoma","Oklahoma","ok","040","00 ","ACSSF","0000001",,,,,"40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3923561,2841467,287373,297948,79246,6143,107778,303606,2571636,313026,2258610,1456081,648665,215743,58560,23204,49176
"41","04000US41","Oregon","Oregon","or","040","00 ","ACSSF","0000001",,,,,"41",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4093465,3455810,79575,45426,169459,14823,120779,207593,2857952,277482,2580470,1924577,934530,362022,114049,47895,57532
"42","04000US42","Pennsylvania","Pennsylvania","pa","040","00 ","ACSSF","0000001",,,,,"42",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12784227,10340877,1407047,23556,423180,3417,262396,323754,8921975,880346,8041629,4909185,2747737,1070766,305435,129802,56907
"44","04000US44","Rhode Island","Rhode Island","ri","040","00 ","ACSSF","0000001",,,,,"44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1056426,850105,67526,5304,36875,1437,62292,32887,734045,84183,649862,445817,250265,99070,28635,11620,60596
"45","04000US45","South Carolina","South Carolina","sc","040","00 ","ACSSF","0000001",,,,,"45",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4961119,3342552,1337644,16010,76870,2561,77386,108096,3388476,453654,2934822,1953153,922506,331420,89219,36206,49501
"46","04000US46","South Dakota","South Dakota","sd","040","00 ","ACSSF","0000001",,,,,"46",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,865454,732939,14524,77378,12953,218,5894,21548,565894,50011,515883,351973,163261,52259,16430,7256,54467
"47","04000US47","Tennessee","Tennessee","tn","040","00 ","ACSSF","0000001",,,,,"47",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6651194,5177478,1114434,19053,116375,4798,79206,139850,4527198,590313,3936885,2470948,1182855,426800,123096,49711,48547
"48","04000US48","Texas","Texas","tx","040","00 ","ACSSF","0000001",,,,,"48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27862596,20702709,3362283,135275,1300300,25228,1622087,714714,17775280,3036008,14739272,10264561,5135687,1773009,491939,196841,56565
"49","04000US49","Utah","Utah","ut","040","00 ","ACSSF","0000001",,,,,"49",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3051217,2633283,32800,31702,70150,29463,164775,89044,1783244,147403,1635841,1231236,580935,199805,59556,25987,65977
"50","04000US50","Vermont","Vermont","vt","040","00 ","ACSSF","0000001",,,,,"50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,624594,589379,7893,2177,9406,252,3163,12324,439563,34570,404993,276226,159855,66984,20313,8016,57677
"51","04000US51","Virginia","Virginia","va","040","00 ","ACSSF","0000001",,,,,"51",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8411808,5707035,1601868,23156,532320,8379,228627,310423,5721173,614314,5106859,3734023,2178685,936934,241705,99173,68114
"53","04000US53","Washington","Washington","wa","040","00 ","ACSSF","0000001",,,,,"53",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7288000,5516602,266977,94637,597215,48182,350251,414136,4996555,458837,4537718,3425932,1755710,657201,184883,75820,67106
"54","04000US54","West Virginia","West Virginia","wv","040","00 ","ACSSF","0000001",,,,,"54",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1831102,1704195,69721,3851,14133,404,7494,31304,1291757,181301,1110456,598228,268757,106514,27712,11061,43385
"55","04000US55","Wisconsin","Wisconsin","wi","040","00 ","ACSSF","0000001",,,,,"55",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5778709,4941688,361653,52608,155252,1534,125644,140330,3933329,317744,3615585,2392978,1160175,401672,113136,43798,56811
"56","04000US56","Wyoming","Wyoming","wy","040","00 ","ACSSF","0000001",,,,,"56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,585501,538819,5970,13194,6012,420,5782,15304,390794,26691,364103,249479,105917,38072,12004,5453,59882
"72","04000US72","Puerto Rico","Puerto Rico","pr","040","00 ","ACSSF","0000001",,,,,"72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3411307,2278731,395069,8082,5691,193,575686,147855,2372197,578611,1793586,1136063,599891,166771,53846,27168,20078
